t_rel_s,cycle,phase,force_net_n,q1,q2,q3,q4,q5,q6,tcp_x,tcp_y,tcp_z,touch_value,touch_age_ms
0.0080,1,HOME,0.0000,1.35075,0.47844,-2.15134,0.10218,1.57080,-3.01911,-0.09677,-0.44240,0.36056,,
0.1652,1,HOME,0.0000,1.35075,0.47844,-2.15134,0.10218,1.57080,-3.01911,-0.09677,-0.44240,0.36056,,
0.2958,1,HOME,0.0000,1.35075,0.47882,-2.14684,0.09731,1.57080,-3.01911,-0.09675,-0.44247,0.36321,,
0.2969,1,HOME,0.0000,1.35075,0.47882,-2.14684,0.09731,1.57080,-3.01911,-0.09675,-0.44247,0.36321,,
0.3985,1,HOME,0.0000,1.35075,0.47921,-2.14222,0.09229,1.57080,-3.01911,-0.09674,-0.44252,0.36593,,
0.3989,1,HOME,0.0000,1.35075,0.47921,-2.14222,0.09229,1.57080,-3.01911,-0.09674,-0.44252,0.36593,,
0.3995,1,HOME,0.0000,1.35075,0.47922,-2.14203,0.09209,1.57080,-3.01911,-0.09674,-0.44253,0.36605,,
0.4001,1,HOME,0.0000,1.35075,0.47922,-2.14203,0.09209,1.57080,-3.01911,-0.09674,-0.44253,0.36605,,
0.4005,1,HOME,0.0000,1.35075,0.47922,-2.14203,0.09209,1.57080,-3.01911,-0.09674,-0.44253,0.36605,,
0.4007,1,HOME,0.0000,1.35075,0.47922,-2.14203,0.09209,1.57080,-3.01911,-0.09674,-0.44253,0.36605,,
0.5006,1,HOME,0.0000,1.35075,0.47961,-2.13745,0.08713,1.57080,-3.01911,-0.09673,-0.44257,0.36874,,
0.5010,1,HOME,0.0000,1.35075,0.47961,-2.13745,0.08713,1.57080,-3.01911,-0.09673,-0.44257,0.36874,,
0.5013,1,HOME,0.0000,1.35075,0.47961,-2.13745,0.08713,1.57080,-3.01911,-0.09673,-0.44257,0.36874,,
0.5016,1,HOME,0.0000,1.35075,0.47961,-2.13745,0.08713,1.57080,-3.01911,-0.09673,-0.44257,0.36874,,
0.5045,1,HOME,0.0000,1.35075,0.47962,-2.13727,0.08693,1.57080,-3.01911,-0.09673,-0.44257,0.36885,,
0.5050,1,HOME,0.0000,1.35075,0.47962,-2.13727,0.08693,1.57080,-3.01911,-0.09673,-0.44257,0.36885,,
0.5056,1,HOME,0.0000,1.35075,0.47962,-2.13727,0.08693,1.57080,-3.01911,-0.09673,-0.44257,0.36885,,
0.6034,1,HOME,0.0000,1.35075,0.48001,-2.13270,0.08198,1.57080,-3.01911,-0.09672,-0.44260,0.37155,,
0.6038,1,HOME,0.0000,1.35075,0.48001,-2.13270,0.08198,1.57080,-3.01911,-0.09672,-0.44260,0.37155,,
0.6041,1,HOME,0.0000,1.35075,0.48001,-2.13270,0.08198,1.57080,-3.01911,-0.09672,-0.44260,0.37155,,
0.6044,1,HOME,0.0000,1.35075,0.48001,-2.13270,0.08198,1.57080,-3.01911,-0.09672,-0.44260,0.37155,,
0.6047,1,HOME,0.0000,1.35075,0.48001,-2.13270,0.08198,1.57080,-3.01911,-0.09672,-0.44260,0.37155,,
0.6050,1,HOME,0.0000,1.35075,0.48001,-2.13270,0.08198,1.57080,-3.01911,-0.09672,-0.44260,0.37155,,
0.6054,1,HOME,0.0000,1.35075,0.48001,-2.13270,0.08198,1.57080,-3.01911,-0.09672,-0.44260,0.37155,,
0.6057,1,HOME,0.0000,1.35075,0.48001,-2.13270,0.08198,1.57080,-3.01911,-0.09672,-0.44260,0.37155,,
0.6060,1,HOME,0.0000,1.35075,0.48001,-2.13270,0.08198,1.57080,-3.01911,-0.09672,-0.44260,0.37155,,
0.6064,1,HOME,0.0000,1.35075,0.48001,-2.13270,0.08198,1.57080,-3.01911,-0.09672,-0.44260,0.37155,,
0.7077,1,HOME,0.0000,1.35075,0.48041,-2.12796,0.07683,1.57080,-3.01911,-0.09672,-0.44261,0.37435,,
0.7162,1,HOME,0.0000,1.35075,0.48044,-2.12759,0.07643,1.57080,-3.01911,-0.09672,-0.44261,0.37457,,
0.7167,1,HOME,0.0000,1.35075,0.48044,-2.12759,0.07643,1.57080,-3.01911,-0.09672,-0.44261,0.37457,,
0.7171,1,HOME,0.0000,1.35075,0.48044,-2.12759,0.07643,1.57080,-3.01911,-0.09672,-0.44261,0.37457,,
0.8084,1,HOME,0.0000,1.35075,0.48080,-2.12339,0.07187,1.57080,-3.01912,-0.09672,-0.44262,0.37705,,
0.8089,1,HOME,0.0000,1.35075,0.48080,-2.12339,0.07187,1.57080,-3.01912,-0.09672,-0.44262,0.37705,,
0.8093,1,HOME,0.0000,1.35075,0.48080,-2.12339,0.07187,1.57080,-3.01912,-0.09672,-0.44262,0.37705,,
0.8096,1,HOME,0.0000,1.35075,0.48080,-2.12339,0.07187,1.57080,-3.01912,-0.09672,-0.44262,0.37705,,
0.8098,1,HOME,0.0000,1.35075,0.48080,-2.12339,0.07187,1.57080,-3.01912,-0.09672,-0.44262,0.37705,,
