t_rel_s,t_unix,force_net_n,load_cell_raw_n,load_cell_voltage_v,touch_i_final,v00,v01,v02,v03,v10,v11,v12,v13,v20,v21,v22,v23,v30,v31,v32,v33
0.0211,1782154916.8405,0.0000,0.0000,0.00000,204.1582,3.3000,3.2613,3.2742,3.1686,3.2073,3.2484,3.2710,3.1558,3.2686,3.2726,3.2742,3.1654,3.3000,3.2807,3.2758,3.1574
0.0415,1782154916.8609,0.0000,0.0000,0.00000,0.0000,3.2686,3.2694,3.2742,3.2130,3.2557,3.2484,3.2710,3.2065,3.3000,3.2815,3.2710,3.2162,3.2807,3.2726,3.2710,3.2202
0.0617,1782154916.8812,0.0000,0.0000,0.00000,0.0000,3.2686,3.2694,3.2742,3.2130,3.2557,3.2484,3.2710,3.2065,3.3000,3.2815,3.2710,3.2162,3.2807,3.2726,3.2710,3.2202
0.0819,1782154916.9014,0.0000,0.0000,0.00000,0.0000,3.2686,3.2694,3.2742,3.2130,3.2557,3.2484,3.2710,3.2065,3.3000,3.2815,3.2710,3.2162,3.2807,3.2726,3.2710,3.2202
0.1021,1782154916.9216,0.0000,0.0000,0.00000,0.0000,3.2686,3.2694,3.2742,3.2130,3.2557,3.2484,3.2710,3.2065,3.3000,3.2815,3.2710,3.2162,3.2807,3.2726,3.2710,3.2202
0.1224,1782154916.9419,0.0000,0.0000,0.00000,0.0000,3.2686,3.2694,3.2742,3.2130,3.2557,3.2484,3.2710,3.2065,3.3000,3.2815,3.2710,3.2162,3.2807,3.2726,3.2710,3.2202
0.1430,1782154916.9625,0.0000,0.0000,0.00000,0.0000,3.3000,3.2774,3.2702,3.1904,3.2283,3.2484,3.2678,3.1912,3.2734,3.2766,3.2734,3.1960,3.2710,3.2790,3.2790,3.1985
0.1632,1782154916.9826,0.0000,0.0000,0.00000,0.0000,3.3000,3.2774,3.2702,3.1904,3.2283,3.2484,3.2678,3.1912,3.2734,3.2766,3.2734,3.1960,3.2710,3.2790,3.2790,3.1985
0.1839,1782154917.0033,0.0000,0.0000,0.00000,19.7477,3.3000,3.2774,3.2702,3.1904,3.2283,3.2484,3.2678,3.1912,3.2734,3.2766,3.2734,3.1960,3.2710,3.2790,3.2790,3.1985
0.2041,1782154917.0236,0.0000,0.0000,0.00000,0.0000,3.3000,3.2774,3.2702,3.1904,3.2283,3.2484,3.2678,3.1912,3.2734,3.2766,3.2734,3.1960,3.2710,3.2790,3.2790,3.1985
0.2246,1782154917.0441,0.0000,0.0000,0.00000,14.8902,3.3000,3.2774,3.2702,3.1904,3.2283,3.2484,3.2678,3.1912,3.2734,3.2766,3.2734,3.1960,3.2710,3.2790,3.2790,3.1985
0.2448,1782154917.0642,0.0000,0.0000,0.00000,0.0000,3.2823,3.2670,3.2734,3.2597,3.2363,3.2444,3.2742,3.2533,3.3000,3.2774,3.2758,3.2605,3.3000,3.2734,3.2742,3.2605
0.2652,1782154917.0846,0.0000,0.0000,0.00000,0.0000,3.2823,3.2670,3.2734,3.2597,3.2363,3.2444,3.2742,3.2533,3.3000,3.2774,3.2758,3.2605,3.3000,3.2734,3.2742,3.2605
0.2854,1782154917.1048,0.0000,0.0000,0.00000,200.7412,3.2823,3.2670,3.2734,3.2597,3.2363,3.2444,3.2742,3.2533,3.3000,3.2774,3.2758,3.2605,3.3000,3.2734,3.2742,3.2605
0.3056,1782154917.1251,0.0000,0.0000,0.00000,0.0000,3.2823,3.2670,3.2734,3.2597,3.2363,3.2444,3.2742,3.2533,3.3000,3.2774,3.2758,3.2605,3.3000,3.2734,3.2742,3.2605
0.3260,1782154917.1454,0.0000,0.0000,0.00000,0.0000,3.2823,3.2670,3.2734,3.2597,3.2363,3.2444,3.2742,3.2533,3.3000,3.2774,3.2758,3.2605,3.3000,3.2734,3.2742,3.2605
0.3465,1782154917.1659,0.0000,0.0000,0.00000,0.0000,3.2911,3.2799,3.2758,3.2645,3.2847,3.2500,3.2678,3.2573,3.2936,3.2653,3.2734,3.2686,3.2670,3.2702,3.2750,3.2637
0.3672,1782154917.1867,0.0000,0.0000,0.00000,0.0000,3.2911,3.2799,3.2758,3.2645,3.2847,3.2500,3.2678,3.2573,3.2936,3.2653,3.2734,3.2686,3.2670,3.2702,3.2750,3.2637
0.3878,1782154917.2072,0.0000,0.0000,0.00000,0.0000,3.2911,3.2799,3.2758,3.2645,3.2847,3.2500,3.2678,3.2573,3.2936,3.2653,3.2734,3.2686,3.2670,3.2702,3.2750,3.2637
0.4082,1782154917.2276,0.0000,0.0000,0.00000,0.0000,3.2911,3.2799,3.2758,3.2645,3.2847,3.2500,3.2678,3.2573,3.2936,3.2653,3.2734,3.2686,3.2670,3.2702,3.2750,3.2637
0.4286,1782154917.2481,0.0000,0.0000,0.00000,0.0000,3.2911,3.2799,3.2758,3.2645,3.2847,3.2500,3.2678,3.2573,3.2936,3.2653,3.2734,3.2686,3.2670,3.2702,3.2750,3.2637
0.4488,1782154917.2683,0.0000,0.0000,0.00000,0.0000,3.2960,3.2613,3.2678,3.2670,3.2299,3.2412,3.2629,3.2621,3.2702,3.2782,3.2742,3.2726,3.3000,3.2718,3.2774,3.2726
