t_rel_s,t_unix,touch_t_stm_s,force_net_n,load_cell_raw_n,load_cell_voltage_v,touch_i_final,v00,v01,v02,v03,v04,v10,v11,v12,v13,v14,v20,v21,v22,v23,v24,v30,v31,v32,v33,v34,v40,v41,v42,v43,v44
0.0010,1782562475.8641,2926.154854,0.0000,0.0000,0.00000,3.2926,3.3000,3.2911,3.2952,3.2807,3.2903,3.2516,3.2823,3.2887,3.2919,3.2976,3.2782,3.2952,3.2968,3.3000,3.3000,3.3000,3.3000,3.3000,3.3000,3.2936,3.3000,3.3000,3.3000,3.2903,3.2903
0.0025,1782562475.8655,2926.156055,0.0000,0.0000,0.00000,3.2917,3.2565,3.2807,3.2871,3.2992,3.3000,3.2782,3.2936,3.2976,3.3000,3.3000,3.3000,3.3000,3.3000,3.2871,3.2936,3.3000,3.2984,3.2992,3.2895,3.2911,3.2887,3.2839,3.2871,3.2839,3.2960
0.0033,1782562475.8664,2926.157255,0.0000,0.0000,0.00000,3.2910,3.2766,3.2879,3.2919,3.3000,3.2984,3.3000,3.3000,3.3000,3.2968,3.2919,3.2774,3.2839,3.2992,3.2863,3.2936,3.2589,3.2839,3.2863,3.2952,3.2960,3.2807,3.2976,3.2976,3.3000,3.2960
0.0043,1782562475.8674,2926.158454,0.0000,0.0000,0.00000,3.2929,3.3000,3.2968,3.3000,3.2879,3.2895,3.2726,3.2831,3.2863,3.2871,3.2976,3.2645,3.2863,3.2919,3.3000,3.2968,3.2936,3.3000,3.3000,3.3000,3.2960,3.3000,3.3000,3.3000,3.3000,3.2927
0.0055,1782562475.8686,2926.159655,0.0000,0.0000,0.00000,3.2910,3.2557,3.2807,3.2879,3.2887,3.2960,3.2774,3.2952,3.2952,3.3000,3.2992,3.3000,3.3000,3.3000,3.2968,3.2936,3.3000,3.3000,3.2960,3.2871,3.2911,3.2799,3.2831,3.2887,3.2863,3.2976
0.0070,1782562475.8700,2926.160855,0.0000,0.0000,0.00000,3.2926,3.2984,3.3000,3.3000,3.3000,3.2944,3.3000,3.3000,3.3000,3.3000,3.2927,3.3000,3.2863,3.2903,3.2871,3.2944,3.2573,3.2831,3.2887,3.2952,3.2984,3.2718,3.2871,3.2895,3.3000,3.2992
0.0081,1782562475.8712,2926.162054,0.0000,0.0000,0.00000,3.2925,3.3000,3.3000,3.2968,3.2871,3.2895,3.3000,3.2887,3.2903,3.2871,3.2919,3.2565,3.2799,3.2871,3.3000,3.2992,3.2766,3.2944,3.2952,3.3000,3.3000,3.3000,3.3000,3.3000,3.2952,3.2968
0.0093,1782562475.8724,2926.163255,0.0000,0.0000,0.00000,3.2918,3.2839,3.2863,3.2911,3.2863,3.2919,3.2782,3.2952,3.2952,3.3000,3.2984,3.2847,3.3000,3.3000,3.3000,3.2944,3.3000,3.3000,3.2952,3.2887,3.2911,3.2766,3.2823,3.2871,3.2903,3.2984
0.0105,1782562475.8736,2926.164455,0.0000,0.0000,0.00000,3.2922,3.2831,3.2936,3.2944,3.3000,3.2984,3.3000,3.3000,3.3000,3.3000,3.2952,3.3000,3.2952,3.2992,3.2855,3.2927,3.2887,3.2823,3.2871,3.2879,3.2968,3.2637,3.2831,3.2855,3.2952,3.2968
0.0116,1782562475.8746,2926.165654,0.0000,0.0000,0.00000,3.2928,3.3000,3.3000,3.2968,3.2839,3.2895,3.3000,3.2911,3.2919,3.2855,3.2952,3.2573,3.2815,3.2871,3.2944,3.2944,3.2863,3.3000,3.3000,3.3000,3.2944,3.3000,3.3000,3.3000,3.2968,3.2936
