tempo,tipo
931.336454,CN_MM
0.931336,CN_RA
931.337654,CN_MM
0.093133,CN_RA
931.338867,CN_MM
0.931338,CN_RA
931.340054,CN_RA
931.341255,CN_MM
931.341255,CN_RA
931.34246,CN_MM
0.931342,CN_RA
931.343654,CN_RA
931.344866,CN_MM
0.093134,CN_RA
931.346054,CN_MM
931.346054,CN_RA
931.347255,CN_RA
931.348459,CN_MM
0.931348,CN_RA
931.349655,CN_MM
931.349655,CN_RA
931.350854,CN_MM
0.093135,CN_RA
931.352054,CN_RA
931.353254,CN_RA
931.354465,CN_MM
0.931354,CN_RA
931.355654,CN_RA
931.358054,CN_MM
931.358054,CN_RA
931.358054,CN_SA
931.359254,CN_RA
931.359254,CN_SA
931.362869,CN_MM
0.931362,CN_RA
931.364054,CN_RA
931.364054,CN_SA
931.365254,CN_MM
0.093136,CN_RA
931.366459,CN_MM
0.093136,CN_RA
931.367654,CN_MM
931.367654,CN_RA
931.367654,CN_SA
931.368866,CN_MM
0.093136,CN_RA
931.370053,CN_MM
931.370053,CN_RA
931.370053,CN_SA
931.371254,CN_MM
0.931371,CN_RA
931.372457,CN_MM
0.931372,CN_RA
931.373654,CN_MM
931.373654,CN_RA
931.373654,CN_SA
931.374854,CN_RA
931.374854,CN_SA
931.376054,CN_RA
931.376054,CN_SA
931.377255,CN_RA
931.378459,CN_MM
0.931378,CN_RA
931.379653,CN_MM
0.931379,CN_RA
931.380854,CN_MM
0.093138,CN_RA
931.382054,CN_MM
931.382054,CN_RA
931.383255,CN_MM
0.931383,CN_RA
931.38446,CN_MM
0.931384,CN_RA
931.386854,CN_RA
931.386854,CN_SA
931.389255,CN_RA
931.389255,CN_SA
931.390461,CN_MM
0.093139,CN_RA
931.392854,CN_RA
931.392854,CN_SA
931.394054,CN_RA
931.394054,CN_SA
931.395253,CN_RA
931.395253,CN_SA
931.397654,CN_MM
931.397654,CN_RA
931.397654,CN_SA
931.398854,CN_RA
931.398854,CN_SA
931.400054,CN_MM
0.9314,CN_RA
931.401255,CN_MM
0.09314,CN_RA
931.402461,CN_RA
931.402461,CN_SA
931.403654,CN_MM
0.09314,CN_RA
931.404854,CN_MM
0.931404,CN_RA
931.406054,CN_RA
931.406054,CN_SA
931.407254,CN_RA
931.407254,CN_SA
931.408459,CN_RA
931.408459,CN_SA
931.409654,CN_MM
0.931409,CN_RA
931.410854,CN_MM
0.93141,CN_RA
931.412054,CN_RA
931.413254,CN_RA
931.41446,CN_RA
931.415653,CN_MM
0.093141,CN_RA
931.416854,CN_MM
0.931416,CN_RA
931.418055,CN_RA
931.418055,CN_SA
931.419254,CN_RA
931.419254,CN_SA
931.420461,CN_SA
931.421654,CN_RA
931.421654,CN_SA
931.424054,CN_SA
931.425255,CN_SA
931.42646,CN_SA
931.427653,CN_SA
931.430055,CN_MM
931.430055,CN_SA
931.431254,CN_MM
0.931431,CN_SA
931.432475,CN_SA
931.433654,CN_SA
931.434854,CN_SA
931.436055,CN_SA
931.438473,CN_SA
931.445654,CN_MM
0.931445,CN_RA
931.446853,CN_MM
0.093144,CN_RA
931.448054,CN_RA
931.448054,CN_SA
931.449254,CN_RA
931.449254,CN_SA
931.451654,CN_RA
931.451654,CN_SA
931.452854,CN_RA
931.452854,CN_SA
931.454055,CN_MM
0.093145,CN_RA
931.455255,CN_RA
931.455255,CN_SA
931.457654,CN_MM
931.457654,CN_RA
931.457654,CN_SA
931.458872,CN_RA
931.460054,CN_RA
931.460054,CN_SA
931.462465,CN_RA
931.463655,CN_RA
931.464854,CN_MM
0.093146,CN_RA
931.466054,CN_MM
0.093146,CN_RA
931.467253,CN_MM
0.093146,CN_RA
931.468462,CN_MM
0.093146,CN_RA
931.469654,CN_RA
931.469654,CN_SA
931.470854,CN_MM
0.093147,CN_RA
931.472055,CN_MM
931.472055,CN_RA
931.472055,CN_SA
931.473254,CN_RA
931.476854,CN_MM
0.093147,CN_RA
931.478054,CN_MM
931.478054,CN_RA
931.478054,CN_SA
931.479254,CN_RA
931.479254,CN_SA
931.48046,CN_RA
931.48046,CN_SA
931.481654,CN_MM
0.093148,CN_RA
931.482854,CN_RA
931.482854,CN_SA
931.484054,CN_RA
931.484054,CN_SA
931.485255,CN_RA
931.485255,CN_SA
931.48646,CN_MM
0.093148,CN_RA
931.487654,CN_MM
0.093148,CN_RA
931.488866,CN_MM
0.093148,CN_RA
931.490054,CN_RA
931.491255,CN_RA
931.492461,CN_RA
931.493654,CN_RA
931.493654,CN_SA
931.494854,CN_RA
931.494854,CN_SA
931.496054,CN_RA
931.496054,CN_SA
931.497253,CN_MM
0.093149,CN_RA
931.49846,CN_RA
931.499654,CN_RA
931.499654,CN_SA
931.500855,CN_RA
931.502054,CN_MM
931.502054,CN_RA
931.503255,CN_MM
0.09315,CN_RA
931.50446,CN_RA
931.50446,CN_SA
931.505653,CN_RA
931.505653,CN_SA
931.508054,CN_MM
931.508054,CN_RA
931.508054,CN_SA
931.509254,CN_RA
931.509254,CN_SA
931.51046,CN_MM
0.093151,CN_RA
931.512854,CN_MM
931.512854,CN_RA
931.512854,CN_SA
931.514054,CN_RA
931.514054,CN_SA
931.515254,CN_RA
931.515254,CN_SA
931.516461,CN_RA
931.516461,CN_SA
931.517653,CN_SA
931.518871,CN_SA
931.520054,CN_MM
931.520054,CN_SA
931.521254,CN_SA
931.52246,CN_MM
0.093152,CN_RA
931.523653,CN_RA
931.523653,CN_SA
931.524854,CN_RA
931.524854,CN_SA
931.527255,CN_SA
931.529654,CN_MM
0.093152,CN_RA
931.530854,CN_SA
931.533254,CN_SA
931.536868,CN_MM
0.093153,CN_RA
931.538054,CN_RA
931.538054,CN_SA
931.539254,CN_RA
931.539254,CN_SA
931.54046,CN_RA
931.54046,CN_SA
931.541654,CN_SA
931.552466,CN_RA
931.553654,CN_RA
931.564454,CN_SA
931.565654,CN_SA
931.580054,CN_RA
931.58246,CN_MM
931.58246,CN_RA
931.583653,CN_RA
931.584854,CN_RA
931.586054,CN_RA
931.592054,CN_MM
931.592054,CN_RA
931.59446,CN_RA
931.602855,CN_RA
931.604054,CN_RA
931.605255,CN_MM
0.09316,CN_RA
931.60646,CN_RA
931.60646,CN_SA
931.607653,CN_SA
931.608854,CN_SA
931.610054,CN_SA
931.611254,CN_SA
931.613654,CN_MM
931.613654,CN_SA
931.614853,CN_SA
931.617255,CN_SA
931.658054,CN_SA
931.659254,CN_SA
931.668854,CN_SA
931.670054,CN_SA
931.709654,CN_SA
931.710854,CN_SA
931.743255,CN_SA
931.744455,CN_SA
931.745654,CN_MM
0.093174,CN_SA
931.746871,CN_SA
931.748054,CN_MM
931.748054,CN_SA
931.749254,CN_SA
931.75046,CN_SA
931.752854,CN_SA
931.778054,CN_SA
931.779254,CN_SA
931.799654,CN_SA
931.800854,CN_SA
931.857254,CN_RA
931.858454,CN_RA
931.860871,CN_MM
0.93186,CN_RA
931.862054,CN_SA
931.863254,CN_RA
931.863254,CN_SA
931.866854,CN_SA
931.868054,CN_MM
931.868054,CN_RA
931.869255,CN_RA
931.870463,CN_MM
0.93187,CN_RA
931.871654,CN_RA
931.871654,CN_SA
931.872866,CN_SA
931.874054,CN_SA
931.877654,CN_MM
931.877654,CN_RA
931.878855,CN_MM
0.931878,CN_RA
931.880054,CN_RA
931.881254,CN_RA
931.882461,CN_RA
931.883654,CN_MM
0.093188,CN_RA
931.884854,CN_RA
931.884854,CN_SA
931.886054,CN_SA
931.887254,CN_SA
931.893255,CN_RA
931.894461,CN_RA
931.896854,CN_MM
0.093189,CN_RA
931.898054,CN_RA
931.900455,CN_RA
931.910054,CN_SA
931.911254,CN_SA
931.912454,CN_MM
0.093191,CN_RA
931.913653,CN_RA
931.913653,CN_SA
931.916054,CN_MM
931.916054,CN_RA
931.917254,CN_RA
931.917254,CN_SA
931.918463,CN_RA
931.919653,CN_RA
931.920854,CN_RA
931.922054,CN_MM
0.093192,CN_RA
931.923254,CN_MM
0.093192,CN_RA
931.924455,CN_MM
931.924455,CN_RA
