tempo,tipo,idx,adc
931.340895,RA,10,3142
931.356387,RA,11,2363
931.359998,SA,11,2422
931.361079,RA,6,2266
931.362291,RA,7,3181
931.38496,SA,6,2293
931.387601,RA,12,2722
931.391283,RA,14,3236
931.395882,RA,9,3393
931.445285,SA,10,2903
931.44552,RA,19,3405
931.450265,RA,17,3668
931.456202,RA,19,3231
931.460897,RA,13,2656
931.473879,RA,9,3558
931.475091,RA,8,3622
931.475269,RA,13,2595
931.506662,RA,19,2484
931.511272,RA,13,1610
931.535485,SA,15,2901
931.536663,RA,15,2909
931.581065,RA,18,2805
931.914691,RA,15,3639
931.931285,SA,14,2491
931.945887,RA,19,3772
931.954282,RA,19,3861
931.963661,RA,14,2410
931.970682,RA,9,2480
931.975888,RA,18,4026
931.976575,SA,1,3108
932.003265,RA,12,3157
932.005521,RA,8,4083
932.017661,RA,13,4085
932.021073,RA,8,4095
932.02937,RA,9,4095
932.046165,RA,9,4095
932.051079,SA,7,3384
932.096918,RA,11,4095
932.104991,RA,6,4079
932.109798,RA,6,4082
932.114686,RA,6,4095
932.471494,RA,19,2426
932.472692,RA,17,3203
932.482274,RA,19,1669
932.483486,RA,18,1998
932.493079,SA,19,1296
932.502674,RA,17,1907
932.503884,RA,19,961
932.505085,SA,17,1817
932.650081,RA,13,3133
932.664484,RA,14,3035
932.674286,RA,19,1390
932.692264,RA,19,1624
932.693493,RA,16,1834
932.69439,SA,12,2553
932.699277,RA,14,2560
932.700487,SA,11,2073
932.70407,RA,12,2397
932.70407,RA,13,2311
932.711494,RA,16,2455
932.712598,SA,15,1398
932.716283,RA,18,2012
932.719796,RA,16,2641
932.72091,RA,12,2276
932.721078,RA,17,2130
932.72807,SA,11,1633
932.731679,SA,12,2263
932.741282,RA,10,2653
932.752197,RA,18,2319
932.755901,RA,17,2685
932.761392,RA,6,3024
932.776286,RA,17,2867
932.777496,RA,18,2976
932.782197,RA,15,2408
932.788285,RA,18,3470
932.793074,RA,16,3433
932.793904,RA,5,3299
932.806062,RA,13,1210
932.82389,RA,9,2876
932.837064,RA,9,2724
932.842203,RA,19,3360
932.845663,RA,12,2601
932.854291,RA,15,3991
932.86628,RA,16,3974
932.890062,RA,14,2722
932.892666,RA,17,3610
932.911893,RA,18,3171
